date,product_id,category,brand,region,customer_id,age,loyalty_tier,price,discount,qty_sold,ad_spend,channel,holiday,competitor_price,stock,revenue
2024-10-11,P217,Jeans,Zara,Mumbai,C979,35,Platinum,4175,32,30,12091,Google Ads,0,1657,282,85169.99999999999
2024-04-18,P298,Sneakers,Adidas,Bangalore,C192,64,Platinum,2763,48,2,18848,Facebook,0,4866,355,2873.52
2024-05-30,P289,T-shirts,Levis,Delhi,C245,26,Gold,4890,8,24,3383,Facebook,0,2940,488,107971.20000000001
2024-07-01,P165,T-shirts,Puma,Delhi,C919,30,Bronze,3990,42,44,17122,Google Ads,1,1571,155,101824.80000000002
2025-02-27,P243,Socks,Nike,Mumbai,C336,41,Bronze,2311,14,42,8123,Website,1,1913,116,83473.32
2024-09-24,P204,T-shirts,Levis,Chennai,C804,52,Gold,4849,32,35,15677,Facebook,1,1725,419,115406.19999999998
2024-04-07,P129,Jeans,Puma,Delhi,C337,49,Gold,3445,40,16,5876,Instagram,0,1769,317,33072.0
2024-08-19,P294,Sneakers,Adidas,Bangalore,C480,47,Silver,4765,39,23,5534,Facebook,1,1348,380,66852.95
2025-01-14,P103,Hats,Nike,Chennai,C186,63,Bronze,2582,12,38,1096,Website,0,2593,119,86342.07999999999
2024-04-09,P187,Jackets,Puma,Mumbai,C740,59,Silver,3752,8,32,8347,Facebook,1,996,399,110458.88
2024-04-10,P229,Jeans,Adidas,Mumbai,C150,28,Bronze,1329,42,6,12307,Google Ads,1,5108,399,4624.92
2024-09-27,P285,Hats,Zara,Mumbai,C375,55,Platinum,4587,33,11,5765,Google Ads,1,4409,253,33806.189999999995
2024-05-18,P136,Jackets,Levis,Mumbai,C502,26,Platinum,2708,38,17,2576,Website,1,4000,435,28542.32
2024-11-20,P203,Jackets,Adidas,Bangalore,C119,19,Platinum,3708,28,15,4299,Google Ads,1,3406,446,40046.399999999994
2024-12-16,P212,Hats,Zara,Bangalore,C403,21,Platinum,3412,2,9,6433,Google Ads,0,1095,73,30093.839999999997
2024-10-24,P117,Jeans,Nike,Bangalore,C900,60,Platinum,2733,17,39,4562,Instagram,0,4208,101,88467.20999999999
2024-09-21,P243,Sneakers,Nike,Chennai,C755,56,Gold,2006,14,43,5566,Google Ads,1,2123,213,74181.88
2024-08-05,P144,Sneakers,Nike,Chennai,C392,35,Bronze,1555,25,35,5147,Website,1,4403,496,40818.75
2025-01-01,P104,Jeans,Adidas,Kolkata,C977,47,Platinum,1186,14,30,7942,Facebook,0,1139,196,30598.800000000003
2024-11-13,P132,Socks,Zara,Delhi,C683,30,Gold,4333,21,49,3390,Instagram,0,3726,287,167730.43000000002
2025-01-14,P218,Hats,Puma,Kolkata,C852,21,Gold,2856,28,11,19509,Instagram,1,4100,112,22619.519999999997
2024-12-31,P287,Socks,Zara,Bangalore,C276,38,Bronze,2248,40,13,4175,Facebook,0,4314,472,17534.399999999998
2024-06-11,P206,Sneakers,Levis,Delhi,C621,42,Bronze,3785,33,37,7485,Google Ads,0,2242,143,93830.15
2024-06-13,P117,Hats,Levis,Bangalore,C950,32,Gold,4030,41,33,3016,Google Ads,1,4574,214,78464.1
2024-11-13,P218,Sneakers,Puma,Bangalore,C788,36,Gold,4703,30,14,12287,Facebook,0,1671,136,46089.4
2024-08-14,P268,Hats,Zara,Chennai,C486,27,Platinum,3000,10,1,16043,Facebook,1,1797,306,2700.0
2024-07-24,P226,Jackets,Zara,Delhi,C703,41,Bronze,2806,39,17,5823,Facebook,1,5259,387,29098.219999999998
2024-03-17,P161,T-shirts,Levis,Chennai,C548,40,Gold,4241,38,14,13968,Instagram,1,2195,156,36811.880000000005
2024-10-24,P109,Socks,Zara,Mumbai,C839,62,Bronze,1231,10,9,14932,Website,1,2080,409,9971.1
2024-10-11,P135,Hats,Levis,Delhi,C406,23,Gold,3703,2,21,13542,Instagram,1,4406,258,76207.74
2024-08-17,P282,Socks,Adidas,Bangalore,C312,47,Bronze,4107,3,16,586,Facebook,0,2388,436,63740.64
2024-06-02,P251,Jackets,Adidas,Mumbai,C667,49,Platinum,4141,22,8,14765,Instagram,0,1209,139,25839.84
2024-08-26,P194,Hats,Levis,Chennai,C373,34,Silver,1802,47,25,5659,Facebook,1,1984,255,23876.5
2024-04-26,P179,Jackets,Puma,Kolkata,C142,54,Platinum,1215,5,11,3024,Google Ads,0,5082,209,12696.75
2024-08-24,P227,T-shirts,Levis,Chennai,C483,33,Bronze,2385,4,19,5746,Website,1,3276,289,43502.4
2024-07-17,P186,Jeans,Adidas,Bangalore,C421,40,Silver,2156,22,21,19312,Google Ads,1,5356,368,35315.28
2024-03-30,P203,Jeans,Levis,Kolkata,C257,44,Bronze,3177,22,34,5770,Instagram,1,4707,198,84254.04
2025-01-31,P278,T-shirts,Puma,Delhi,C884,54,Bronze,4103,45,27,13065,Facebook,1,1645,388,60929.55
2024-05-16,P230,Sneakers,Nike,Delhi,C303,59,Gold,4527,21,44,16319,Instagram,1,1031,321,157358.52000000002
2024-09-19,P292,T-shirts,Adidas,Chennai,C656,46,Bronze,4503,48,7,2458,Website,1,4092,240,16390.92
2024-05-04,P294,Sneakers,Levis,Bangalore,C316,64,Bronze,2108,39,19,933,Instagram,0,1621,461,24431.719999999998
2024-11-22,P133,Jeans,Nike,Mumbai,C297,23,Bronze,3035,26,15,5287,Google Ads,1,1378,150,33688.5
2024-04-21,P248,Jeans,Puma,Bangalore,C599,32,Platinum,1211,43,19,6526,Instagram,1,5148,199,13115.130000000001
2024-12-25,P254,Sneakers,Levis,Mumbai,C663,32,Silver,1875,5,11,10866,Website,1,1821,460,19593.75
2024-04-29,P254,Socks,Nike,Bangalore,C334,19,Gold,2488,2,30,12232,Website,1,2346,438,73147.2
2024-05-05,P273,T-shirts,Nike,Chennai,C646,49,Silver,3316,2,42,6477,Facebook,1,2997,439,136486.56
2025-01-28,P113,T-shirts,Adidas,Chennai,C954,25,Silver,3920,39,1,7758,Google Ads,0,4780,494,2391.2
2024-12-30,P280,Sneakers,Puma,Delhi,C874,23,Platinum,1731,23,6,7964,Google Ads,1,5118,153,7997.220000000001
2024-06-02,P215,T-shirts,Levis,Mumbai,C621,41,Bronze,4923,30,47,16809,Google Ads,1,5198,472,161966.69999999998
2024-07-03,P134,T-shirts,Puma,Delhi,C832,63,Gold,1497,17,20,18505,Instagram,0,1585,482,24850.2
2025-02-15,P188,Jackets,Levis,Kolkata,C362,32,Platinum,2542,32,4,7931,Instagram,0,4277,204,6914.24
2024-08-07,P275,Sneakers,Adidas,Mumbai,C432,36,Bronze,1873,3,11,19391,Instagram,0,1665,316,19984.91
2024-07-10,P170,Hats,Zara,Delhi,C868,54,Platinum,2117,49,43,8898,Facebook,0,4347,97,46425.810000000005
2024-04-09,P165,Jeans,Nike,Bangalore,C846,18,Bronze,1539,23,15,9699,Facebook,1,984,418,17775.45
2024-12-27,P286,Jeans,Zara,Bangalore,C297,47,Silver,3729,4,23,15284,Google Ads,0,4758,367,82336.31999999999
2024-12-02,P196,Hats,Puma,Chennai,C603,33,Silver,2289,1,22,16082,Instagram,1,1713,390,49854.420000000006
2024-05-20,P152,Jeans,Nike,Chennai,C167,36,Silver,4728,15,41,12646,Google Ads,1,1514,485,164770.8
2024-06-25,P113,Sneakers,Zara,Chennai,C970,48,Bronze,4591,25,35,15169,Google Ads,0,2951,120,120513.75
2025-02-18,P171,Socks,Puma,Mumbai,C621,58,Platinum,2020,27,9,10836,Facebook,0,4738,225,13271.4
2025-02-12,P272,Sneakers,Puma,Bangalore,C750,58,Silver,3287,42,17,18806,Instagram,0,4406,416,32409.820000000003
2024-04-07,P254,Socks,Puma,Kolkata,C783,22,Gold,1642,14,14,9300,Google Ads,0,3450,212,19769.68
2024-08-24,P161,Jackets,Adidas,Delhi,C971,52,Silver,1576,25,16,15645,Google Ads,0,3083,423,18912.0
2024-03-10,P232,Socks,Puma,Delhi,C378,33,Gold,4522,46,7,2156,Google Ads,1,1307,112,17093.16
2024-06-29,P182,Jeans,Levis,Kolkata,C876,30,Platinum,1583,32,27,3375,Google Ads,1,3181,326,29063.879999999994
2024-11-29,P262,Jackets,Puma,Bangalore,C261,49,Bronze,3317,36,8,5048,Google Ads,0,5346,153,16983.04
2024-11-28,P261,Socks,Adidas,Delhi,C630,47,Silver,2626,2,7,15004,Instagram,0,3781,100,18014.36
2025-01-23,P123,Hats,Levis,Chennai,C750,34,Platinum,4793,23,6,11189,Google Ads,0,4897,215,22143.66
2024-11-02,P264,Hats,Adidas,Kolkata,C630,36,Bronze,2572,3,11,7122,Instagram,0,4463,206,27443.24
2024-06-02,P287,Hats,Adidas,Kolkata,C230,19,Platinum,3868,27,5,4917,Instagram,1,4224,136,14118.199999999999
2024-10-21,P229,T-shirts,Nike,Delhi,C601,46,Bronze,2045,30,15,15875,Facebook,1,1229,345,21472.5
2024-06-09,P217,T-shirts,Adidas,Chennai,C390,40,Gold,3463,23,21,5124,Instagram,1,1539,190,55996.71000000001
2024-12-07,P112,Sneakers,Puma,Mumbai,C763,50,Bronze,2629,6,26,3686,Website,0,3077,478,64252.759999999995
2024-04-27,P279,Hats,Nike,Bangalore,C429,45,Bronze,1857,5,33,3871,Website,0,1232,109,58216.95
2024-12-12,P283,Jeans,Levis,Kolkata,C264,53,Platinum,1465,45,29,16415,Facebook,1,4849,273,23366.750000000004
2024-09-19,P294,Jeans,Adidas,Mumbai,C221,32,Gold,1665,20,37,13006,Instagram,0,3749,81,49284.0
2024-05-20,P213,Sneakers,Zara,Kolkata,C236,40,Platinum,1005,30,7,15704,Website,1,1020,221,4924.5
2024-11-07,P164,Socks,Adidas,Chennai,C238,50,Platinum,3863,30,12,7990,Facebook,0,3982,79,32449.199999999997
2024-07-15,P115,Jeans,Puma,Delhi,C325,58,Bronze,3562,39,32,10109,Instagram,0,5012,102,69530.24
2024-06-27,P184,Jeans,Adidas,Bangalore,C940,40,Gold,4850,9,15,11476,Website,0,3625,403,66202.5
2025-01-06,P121,Jackets,Zara,Mumbai,C931,31,Platinum,1567,15,14,18089,Facebook,1,1749,304,18647.3
2024-10-15,P138,Jeans,Levis,Kolkata,C334,51,Gold,3117,13,45,14335,Google Ads,1,2816,489,122030.55
2024-04-22,P109,Socks,Levis,Mumbai,C341,36,Silver,3967,13,22,2190,Google Ads,1,3648,294,75928.38
2025-02-08,P166,T-shirts,Levis,Bangalore,C241,18,Bronze,2179,46,29,9716,Website,0,4246,290,34123.14
2024-12-03,P299,Jeans,Puma,Bangalore,C867,28,Platinum,4734,13,31,10058,Website,1,1664,401,127675.98
2024-04-08,P265,T-shirts,Nike,Kolkata,C372,61,Bronze,3160,18,6,13165,Facebook,1,4163,174,15547.2
2024-05-19,P105,Jeans,Levis,Chennai,C673,50,Gold,4750,17,6,17946,Instagram,0,4541,312,23655.0
2024-08-23,P256,T-shirts,Zara,Bangalore,C634,30,Platinum,4570,36,37,10307,Google Ads,1,3953,268,108217.6
2024-06-15,P284,T-shirts,Adidas,Mumbai,C855,55,Gold,4991,41,6,549,Google Ads,0,4753,165,17668.140000000003
2025-01-30,P204,Socks,Nike,Bangalore,C959,35,Silver,4016,1,43,12478,Google Ads,0,2171,315,170961.12
2025-02-14,P288,Socks,Adidas,Mumbai,C253,59,Platinum,3580,21,14,6945,Google Ads,1,1708,485,39594.8
2024-03-02,P203,Jackets,Nike,Chennai,C415,24,Silver,3546,10,13,6859,Website,0,3194,386,41488.200000000004
2024-11-21,P240,Sneakers,Puma,Chennai,C170,30,Gold,2278,12,14,17175,Website,1,3920,65,28064.960000000003
2024-10-27,P298,Hats,Levis,Delhi,C381,31,Gold,1077,16,42,13204,Facebook,0,1778,176,37996.56
2024-10-26,P280,Jeans,Nike,Mumbai,C692,42,Gold,1186,24,42,8737,Google Ads,0,1462,402,37857.12
2024-12-12,P251,Socks,Puma,Delhi,C573,27,Bronze,1191,42,29,5247,Website,0,5026,424,20032.620000000003
2024-07-09,P155,Socks,Adidas,Kolkata,C385,57,Silver,1442,12,43,16339,Instagram,1,3816,467,54565.28
2024-06-12,P133,Jeans,Zara,Kolkata,C288,36,Gold,1941,23,20,8442,Facebook,1,3954,428,29891.399999999998
2024-06-07,P159,Socks,Adidas,Kolkata,C776,63,Silver,1996,17,16,5371,Website,1,4903,120,26506.879999999997
2024-12-05,P121,Socks,Adidas,Chennai,C959,30,Gold,1420,39,47,5700,Google Ads,0,3036,450,40711.399999999994
2024-09-02,P113,Jeans,Adidas,Chennai,C585,38,Platinum,4674,36,25,11909,Google Ads,1,3686,157,74784.0
2024-03-29,P158,Hats,Zara,Kolkata,C476,18,Bronze,1792,40,2,14555,Instagram,1,3667,360,2150.4
2024-10-20,P279,Jackets,Puma,Delhi,C658,60,Bronze,4464,47,25,6733,Instagram,0,4215,413,59148.0
2024-08-31,P191,Jackets,Adidas,Kolkata,C973,37,Platinum,4034,26,48,12295,Website,0,1148,363,143287.68
2024-06-05,P166,Sneakers,Puma,Chennai,C593,53,Gold,3920,6,34,4566,Facebook,0,2712,445,125283.2
2025-02-08,P120,Hats,Nike,Delhi,C774,35,Gold,4717,35,12,16660,Website,1,3285,382,36792.600000000006
2024-11-22,P246,T-shirts,Nike,Mumbai,C814,35,Silver,1162,4,5,17704,Google Ads,1,3655,121,5577.6
2024-11-06,P256,Sneakers,Puma,Kolkata,C887,34,Platinum,4321,42,16,12582,Website,0,3591,327,40098.880000000005
2025-02-13,P121,Jackets,Puma,Mumbai,C129,19,Bronze,3304,41,1,17782,Facebook,1,5114,369,1949.3600000000004
2025-01-06,P260,T-shirts,Zara,Bangalore,C204,37,Silver,1124,25,36,10048,Facebook,1,4692,143,30348.0
2024-12-16,P208,Socks,Zara,Chennai,C608,41,Silver,1125,18,12,11023,Facebook,1,3200,310,11070.000000000002
2024-06-19,P116,Jeans,Nike,Bangalore,C822,47,Silver,4022,6,12,18948,Google Ads,0,3471,363,45368.159999999996
2025-02-26,P177,T-shirts,Puma,Chennai,C465,54,Gold,4279,49,30,11300,Facebook,0,1774,279,65468.7
2024-12-28,P240,Socks,Zara,Delhi,C971,48,Silver,4483,17,30,14319,Website,0,2188,248,111626.7
2024-06-23,P153,Jackets,Zara,Kolkata,C668,21,Gold,4990,8,19,9085,Google Ads,1,5174,191,87225.2
2024-08-14,P215,Socks,Levis,Kolkata,C547,53,Gold,4827,2,4,10683,Google Ads,1,932,451,18921.84
2024-10-17,P137,Jeans,Puma,Kolkata,C810,33,Bronze,1529,48,15,19664,Google Ads,0,2710,254,11926.2
2024-08-05,P148,Jeans,Puma,Delhi,C755,47,Silver,4973,23,46,5868,Google Ads,0,3157,432,176143.66
2024-08-27,P203,Jeans,Nike,Bangalore,C870,44,Gold,1019,19,34,4139,Google Ads,0,2391,288,28063.260000000002
2024-10-10,P282,Jeans,Zara,Mumbai,C878,18,Silver,1085,0,4,9660,Google Ads,0,3491,437,4340.0
2024-06-03,P204,Socks,Nike,Mumbai,C495,50,Bronze,4816,15,9,13631,Facebook,1,4809,339,36842.4
2024-12-10,P163,T-shirts,Levis,Delhi,C650,25,Bronze,4337,20,18,1871,Facebook,1,4090,306,62452.8
2024-10-10,P266,Jackets,Zara,Bangalore,C634,39,Platinum,4594,1,47,15196,Instagram,1,1374,123,213758.82
2024-12-24,P156,Sneakers,Levis,Bangalore,C481,49,Bronze,1445,20,14,7974,Facebook,1,869,222,16184.0
2024-10-04,P265,T-shirts,Zara,Delhi,C422,27,Bronze,3055,43,25,18913,Google Ads,0,4762,364,43533.75
2024-05-05,P220,Socks,Zara,Bangalore,C133,59,Bronze,1845,20,12,5368,Website,1,4205,398,17712.0
2025-02-11,P261,Hats,Nike,Chennai,C880,44,Platinum,2821,4,43,18046,Facebook,0,2457,392,116450.87999999999
2024-12-02,P143,T-shirts,Puma,Mumbai,C945,42,Silver,3468,37,32,12366,Website,0,4412,480,69914.88
2024-12-21,P241,T-shirts,Zara,Delhi,C824,57,Gold,3493,3,46,8685,Facebook,1,3509,458,155857.66
2024-06-06,P129,Hats,Nike,Bangalore,C500,37,Platinum,2484,0,29,7112,Facebook,0,1092,430,72036.0
2024-06-08,P155,Hats,Adidas,Delhi,C285,53,Bronze,4050,7,43,4835,Website,0,2131,354,161959.49999999997
2024-05-29,P170,Jackets,Zara,Mumbai,C904,43,Platinum,2599,3,35,6506,Website,0,2683,366,88236.04999999999
2024-04-24,P134,Jeans,Levis,Chennai,C365,50,Silver,4373,22,41,1782,Google Ads,0,5172,83,139848.54
2025-02-22,P264,Hats,Zara,Bangalore,C339,35,Bronze,2795,1,13,3227,Google Ads,1,2175,93,35971.65
2024-11-03,P151,Socks,Puma,Kolkata,C195,53,Silver,4402,5,34,11242,Google Ads,0,1699,312,142184.59999999998
2024-06-05,P252,Jeans,Levis,Chennai,C652,63,Bronze,3979,32,48,1906,Google Ads,0,3078,419,129874.56
2024-12-06,P239,Jeans,Nike,Mumbai,C522,31,Silver,2944,34,34,9814,Instagram,0,1564,299,66063.35999999999
2024-05-11,P154,Jeans,Adidas,Kolkata,C885,55,Platinum,3777,1,28,17562,Instagram,1,1363,352,104698.44
2024-08-30,P283,T-shirts,Zara,Delhi,C373,43,Gold,1001,26,23,15655,Website,0,3853,282,17037.02
2024-12-29,P137,Jeans,Zara,Chennai,C283,43,Platinum,1387,8,48,14153,Facebook,1,3917,358,61249.92
2024-06-17,P102,T-shirts,Adidas,Delhi,C964,33,Bronze,2000,4,28,17695,Website,1,4611,495,53760.0
2025-01-23,P199,Sneakers,Levis,Kolkata,C784,21,Silver,3248,8,22,15926,Website,1,3916,451,65739.52
2024-09-13,P221,Hats,Levis,Mumbai,C833,44,Gold,2088,18,24,9290,Google Ads,1,3786,116,41091.840000000004
2024-05-24,P161,Sneakers,Puma,Bangalore,C524,56,Silver,4664,43,32,17600,Instagram,0,1390,442,85071.36000000002
2024-12-11,P106,Sneakers,Zara,Kolkata,C191,40,Platinum,3347,39,29,7463,Instagram,0,1563,350,59208.42999999999
2024-11-04,P186,Socks,Puma,Mumbai,C704,54,Bronze,4580,17,44,11461,Facebook,1,3949,452,167261.59999999998
2024-09-18,P244,Jeans,Adidas,Kolkata,C649,42,Silver,4116,5,21,19131,Website,1,2994,270,82114.2
2025-02-04,P168,Jeans,Levis,Delhi,C476,40,Gold,4067,26,15,15850,Website,0,2444,72,45143.7
2024-03-31,P145,Hats,Zara,Chennai,C779,26,Platinum,1737,35,44,2269,Website,0,1069,491,49678.2
2024-04-14,P213,T-shirts,Nike,Mumbai,C396,27,Silver,1917,6,38,5437,Google Ads,1,2720,156,68475.23999999999
2024-11-01,P109,Socks,Levis,Chennai,C191,19,Silver,1920,3,8,17204,Google Ads,0,3019,446,14899.199999999999
2024-09-29,P257,Jackets,Nike,Delhi,C260,63,Silver,2167,14,48,17859,Facebook,1,1701,63,89453.76
2024-12-15,P210,Hats,Adidas,Kolkata,C915,61,Bronze,4458,44,37,15131,Website,1,4405,201,92369.76
2024-03-02,P111,Sneakers,Zara,Chennai,C798,38,Bronze,1448,39,11,13352,Instagram,0,3719,55,9716.08
2025-01-25,P211,Jackets,Puma,Mumbai,C252,64,Silver,4139,37,45,17816,Website,1,5260,253,117340.65000000001
2024-08-03,P113,Socks,Zara,Bangalore,C488,24,Platinum,4270,24,25,10166,Website,0,3996,126,81130.0
2024-04-04,P241,Jackets,Levis,Bangalore,C610,19,Silver,1632,20,41,12995,Instagram,1,5376,452,53529.600000000006
2024-03-03,P261,Jeans,Levis,Mumbai,C872,39,Platinum,1519,11,49,18704,Website,1,4324,383,66243.59000000001
2024-03-18,P204,Hats,Adidas,Mumbai,C926,29,Bronze,4569,17,26,8879,Website,1,4463,494,98599.02
2024-07-21,P174,Socks,Nike,Chennai,C364,28,Gold,1423,1,14,1391,Instagram,0,2193,135,19722.78
2024-10-30,P115,Hats,Adidas,Chennai,C111,39,Gold,1141,34,48,16656,Instagram,0,4426,139,36146.88
2024-12-08,P122,T-shirts,Nike,Delhi,C618,37,Gold,3858,16,17,10915,Facebook,0,2222,378,55092.24
2024-05-15,P102,Socks,Puma,Kolkata,C369,21,Platinum,3781,3,9,19405,Instagram,0,3135,79,33008.13
2024-03-02,P154,T-shirts,Nike,Mumbai,C849,25,Silver,3982,21,32,8182,Instagram,0,4804,212,100664.96
2024-09-24,P181,T-shirts,Adidas,Bangalore,C452,58,Silver,3195,26,37,709,Facebook,0,1959,381,87479.1
2024-06-03,P296,Hats,Zara,Kolkata,C574,38,Gold,3967,0,8,3711,Instagram,1,2893,277,31736.0
2024-11-12,P186,T-shirts,Puma,Bangalore,C494,27,Silver,2407,35,8,9437,Google Ads,1,1146,162,12516.4
2024-12-13,P112,Socks,Levis,Bangalore,C341,40,Platinum,1392,39,4,1622,Facebook,0,2347,229,3396.48
2024-03-13,P198,Jackets,Zara,Delhi,C865,19,Gold,3099,10,30,8404,Facebook,1,4113,323,83673.0
2024-05-23,P131,Jeans,Adidas,Bangalore,C635,19,Platinum,4467,1,40,7008,Facebook,0,4296,436,176893.2
2025-02-16,P240,T-shirts,Adidas,Delhi,C911,45,Bronze,4661,14,14,1737,Instagram,0,4951,110,56118.44
2024-09-30,P255,T-shirts,Nike,Kolkata,C417,43,Bronze,4061,20,40,3688,Google Ads,1,2872,492,129952.0
2025-01-31,P123,T-shirts,Adidas,Bangalore,C110,37,Silver,4885,31,32,17558,Instagram,0,3507,195,107860.79999999999
2024-04-05,P240,T-shirts,Levis,Kolkata,C980,23,Gold,2943,44,36,2977,Website,1,1719,169,59330.880000000005
2024-08-02,P260,T-shirts,Levis,Chennai,C655,20,Silver,2042,1,25,8213,Facebook,0,3769,282,50539.5
2024-06-28,P251,Socks,Zara,Kolkata,C835,22,Bronze,1002,13,46,13457,Google Ads,1,1698,392,40100.04
2024-10-28,P188,Socks,Puma,Kolkata,C667,51,Gold,1043,18,10,4845,Facebook,1,1377,271,8552.6
